code,theme,enabled,note,name_zh,market,official_industry,current_themes
4198,生技醫療 / 綜合,1,current classified theme,欣大健康,TPEx,生技醫療業,生技醫療 / 綜合
4205,食品民生 / 綜合,1,current classified theme,中華食,TPEx,食品工業,食品民生 / 綜合
4207,食品民生 / 綜合,1,current classified theme,環泰,TPEx,食品工業,食品民生 / 綜合
4303,塑膠加工 / 包材,1,theme refinement v2,信立,TPEx,塑膠工業,塑膠加工 / 包材
4304,塑膠加工 / 包材,1,theme refinement v2,勝昱,TPEx,塑膠工業,塑膠加工 / 包材
4305,塑膠加工 / 包材,1,theme refinement v2,世坤,TPEx,塑膠工業,塑膠加工 / 包材
4306,塑膠加工 / 包材,1,theme refinement v2,炎洲,TWSE,塑膠工業,塑膠加工 / 包材
4401,紡織纖維 / 綜合,1,current classified theme,東隆興,TPEx,紡織纖維,紡織纖維 / 綜合
4402,紡織纖維 / 綜合,1,current classified theme,福大,TPEx,紡織纖維,紡織纖維 / 綜合
4406,紡織纖維 / 綜合,1,current classified theme,新昕纖,TPEx,紡織纖維,紡織纖維 / 綜合
4413,紡織纖維 / 綜合,1,current classified theme,飛寶企業,TPEx,紡織纖維,紡織纖維 / 綜合
4414,紡織纖維 / 綜合,1,current classified theme,如興,TWSE,紡織纖維,紡織纖維 / 綜合
4416,建材營造 / 綜合,1,current classified theme,三圓,TPEx,建材營造,建材營造 / 綜合
4417,紡織纖維 / 綜合,1,current classified theme,金洲,TPEx,紡織纖維,紡織纖維 / 綜合
4419,觀光餐旅 / 綜合,1,current classified theme,皇家美食,TPEx,觀光餐旅,觀光餐旅 / 綜合
4420,紡織纖維 / 綜合,1,current classified theme,光明,TPEx,紡織纖維,紡織纖維 / 綜合
4426,紡織纖維 / 綜合,1,current classified theme,利勤,TWSE,紡織纖維,紡織纖維 / 綜合
4430,綜合產業 / 綜合,1,current classified theme,耀億,TPEx,其他,綜合產業 / 綜合
4432,紡織纖維 / 綜合,1,current classified theme,銘旺實,TPEx,紡織纖維,紡織纖維 / 綜合
4433,紡織纖維 / 綜合,1,current classified theme,興采,TPEx,紡織纖維,紡織纖維 / 綜合
